p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
7,7,28,7.28.a.b,-4,1,5,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,10,7.10.a.a,-3,1,4,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,10,7.10.a.a,-1,1,2,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,10,7.10.a.b,0,2,2,8,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,10,7.10.a.b,-3,1,4,8,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,10,7.10.a.b,-1,1,2,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-3,2,5,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.a,-9,2,11,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.a,-13,2,15,5,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,46,7.46.a.a,-6,2,8,5,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,46,7.46.a.a,-16,1,17,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.a,-11,1,12,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-14,0,14,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-8,1,9,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-2,1,3,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-5,0,5,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.a,-17,0,17,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.a,-10,2,12,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.a,-12,3,15,-3,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,48,7.48.a.a,-16,0,16,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.a,-6,3,9,-3,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,48,7.48.a.a,-3,2,5,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.a,-11,2,13,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.a,-5,1,6,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.a,-17,1,18,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.a,-8,2,10,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.a,-14,1,15,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.a,-7,2,9,5,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.a,-1,1,2,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.a,-3,2,5,5,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,30,7.30.a.a,-9,2,11,5,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,30,7.30.a.a,-2,1,3,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.a,-11,0,11,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.a,-4,1,5,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.a,-8,1,9,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.b,-1,3,4,8,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,30,7.30.a.b,-7,2,9,8,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,30,7.30.a.b,-3,2,5,8,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,30,7.30.a.b,-9,2,11,8,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,30,7.30.a.b,-2,1,3,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.b,-11,0,11,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.b,-4,1,5,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,30,7.30.a.b,-8,1,9,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,12,7.12.a.a,-3,1,4,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,12,7.12.a.a,-2,1,3,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,12,7.12.a.b,-3,1,4,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,12,7.12.a.b,0,1,1,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,12,7.12.a.b,-2,1,3,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.a,-6,3,9,-3,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,32,7.32.a.a,-3,2,5,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,32,7.32.a.a,-9,2,11,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,32,7.32.a.a,-11,1,12,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.a,-2,2,4,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.a,-5,2,7,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.a,-8,1,9,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.b,-6,1,7,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,32,7.32.a.b,-3,2,5,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,32,7.32.a.b,-1,0,1,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,32,7.32.a.b,-9,2,11,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,32,7.32.a.b,-11,1,12,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.b,-2,2,4,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,32,7.32.a.b,-5,2,7,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-10,2,12,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,32,7.32.a.b,-8,1,9,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-12,1,13,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,48,7.48.a.b,-1,0,1,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,48,7.48.a.b,-16,0,16,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.b,-6,1,7,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,48,7.48.a.b,-3,2,5,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,48,7.48.a.b,-11,2,13,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-5,1,6,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-17,1,18,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-8,2,10,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-14,1,15,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,48,7.48.a.b,-1,1,2,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,14,7.14.a.a,-3,1,4,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,14,7.14.a.a,-2,0,2,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,14,7.14.a.a,-4,0,4,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-1,1,2,8,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,46,7.46.a.b,-3,2,5,8,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.b,-9,2,11,8,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.b,-13,2,15,8,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,46,7.46.a.b,-6,2,8,8,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,46,7.46.a.b,-16,1,17,8,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,46,7.46.a.b,-11,1,12,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-14,0,14,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-8,1,9,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-2,1,3,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-5,0,5,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,46,7.46.a.b,-17,0,17,8,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,16,7.16.a.a,-3,2,5,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,16,7.16.a.a,-2,2,4,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,16,7.16.a.a,-4,2,6,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,16,7.16.a.b,-3,2,5,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,16,7.16.a.b,-1,1,2,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,16,7.16.a.b,-2,2,4,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,16,7.16.a.b,-4,2,6,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,64,7.64.a.a,-4,2,6,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,64,7.64.a.a,-19,3,22,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,64,7.64.a.a,-10,0,10,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,64,7.64.a.a,-12,3,15,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,64,7.64.a.a,-6,3,9,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,64,7.64.a.a,-17,2,19,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,64,7.64.a.a,-22,0,22,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,64,7.64.a.a,-11,1,12,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,64,7.64.a.a,-7,1,8,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,64,7.64.a.a,-16,2,18,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,64,7.64.a.a,-22,0,22,-3,1,2:[1:5];3:[1:0];5:[1:0],1,2
7,7,52,7.52.a.a,-16,0,16,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,52,7.52.a.a,-6,3,9,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,52,7.52.a.a,-20,3,23,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,64,7.64.a.a,-1,1,2,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.a,-6,3,9,-3,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,52,7.52.a.a,-3,1,4,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,36,7.36.a.a,-4,2,6,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,36,7.36.a.a,-10,0,10,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,36,7.36.a.a,-12,3,15,-3,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,36,7.36.a.a,-11,1,12,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.a,-5,1,6,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.a,-7,1,8,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.a,-1,1,2,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-10,2,12,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,52,7.52.a.a,-12,3,15,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,64,7.64.a.a,-18,2,20,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-11,1,12,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-8,1,9,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-14,0,14,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-1,1,2,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,64,7.64.a.a,-5,1,6,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-17,0,17,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.a,-5,1,6,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.b,-1,0,1,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,36,7.36.a.b,-6,1,7,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,36,7.36.a.b,-4,2,6,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,36,7.36.a.b,-10,0,10,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,36,7.36.a.b,-12,1,13,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,36,7.36.a.b,-11,1,12,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.b,-5,1,6,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.b,-7,1,8,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,36,7.36.a.b,-1,1,2,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-10,2,12,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,50,7.50.a.a,-12,2,14,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,50,7.50.a.a,-16,0,16,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,50,7.50.a.a,-6,2,8,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,50,7.50.a.a,-18,2,20,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,50,7.50.a.a,-4,1,5,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,50,7.50.a.a,-1,1,2,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-17,-1,16,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-5,1,6,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-7,1,8,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-15,-1,14,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,50,7.50.a.a,-11,1,12,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,18,7.18.a.a,-6,2,8,5,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,18,7.18.a.a,-3,2,5,5,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,18,7.18.a.a,-5,0,5,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,18,7.18.a.a,-2,1,3,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,18,7.18.a.b,-1,1,2,8,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,18,7.18.a.b,-6,2,8,8,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,18,7.18.a.b,-3,2,5,8,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,18,7.18.a.b,-5,0,5,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,18,7.18.a.b,-2,1,3,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-16,0,16,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,52,7.52.a.b,-6,1,7,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,52,7.52.a.b,-1,0,1,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,52,7.52.a.b,-20,1,21,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,52,7.52.a.b,-3,1,4,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,52,7.52.a.b,-10,2,12,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,52,7.52.a.b,-12,1,13,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,52,7.52.a.b,-11,1,12,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-8,1,9,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-14,0,14,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-1,1,2,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-17,0,17,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,52,7.52.a.b,-5,1,6,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,14,7.14.a.b,100000,6,4,85,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,14,7.14.a.b,-3,1,4,85,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,14,7.14.a.b,-2,0,2,85,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,14,7.14.a.b,-4,0,4,85,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,20,7.20.a.a,-6,3,9,-3,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,20,7.20.a.a,-3,2,5,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,20,7.20.a.a,-1,1,2,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,20,7.20.a.a,-5,1,6,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,20,7.20.a.b,-6,1,7,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,20,7.20.a.b,-3,2,5,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,20,7.20.a.b,-1,0,1,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,20,7.20.a.b,0,2,2,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,20,7.20.a.b,-5,1,6,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,38,7.38.a.a,-10,0,10,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,38,7.38.a.a,-12,2,14,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,38,7.38.a.a,-6,2,8,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,38,7.38.a.a,-3,1,4,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,38,7.38.a.a,-11,0,11,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,38,7.38.a.a,-1,1,2,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,38,7.38.a.a,-5,1,6,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,38,7.38.a.a,-8,0,8,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,38,7.38.a.a,-14,1,15,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,34,7.34.a.a,-3,2,5,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,34,7.34.a.a,-10,1,11,5,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,34,7.34.a.a,-12,2,14,5,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,34,7.34.a.a,-6,2,8,5,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,34,7.34.a.a,-11,0,11,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,34,7.34.a.a,-8,0,8,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,34,7.34.a.a,-1,1,2,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,34,7.34.a.a,-5,1,6,5,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,40,7.40.a.a,-3,1,4,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,40,7.40.a.a,-9,1,10,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,40,7.40.a.a,-13,3,16,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
